,0
Boston PD,0.2412467215359596
Boston PD Non-MTRS,0.3393726146413807
Chelsea PD,0.14706637373370576
Chelsea PD Non-MTRS,0.2305417124404615
Revere PD,0.33496287118298806
State Agencies Total,0.20324277009372477
