Category,2016,2017,2018,2019
Jails,267451386.7055613,259077825.08126086,281711475.64284545,295581823.41591305
Legal,87252219.85134375,85628460.34503594,91965228.1783169,96571236.00271337
Police,636039842.0396161,672146326.8842444,725017952.187691,732115514.053996
