Category,Hidden,2016,2017,2018,2019
Jails,False,193015598.75141674,187119491.7943685,204209588.13262963,217565235.70975986
Jails,True,93259490.61888403,91051428.51854625,96445862.49041876,96714243.41158539
Legal,False,53934622.55978619,53984515.20673539,57134265.00915331,61676857.81666484
Legal,True,27119625.825767793,25167908.777200915,27845664.932174463,27601020.79561965
Police,False,417729238.09911937,437619189.2112121,486577101.71739817,498483414.54694223
Police,True,214756555.88688374,233874009.0006194,236429315.7394235,238637029.0486279
