,2016,2017,2018,2019
Trial Court Correction,0.0489823336973448,0.04672850675441774,0.05097978348099829,0.05095351948404719
Appeals Court Correction,0.07767930391755384,0.0708837527230655,0.07407323443042907,0.06438728291789067
DOC Correction,0.1577189462236611,0.14746032968397677,0.17165234781087046,0.18028944408389103
Population Correction,0.11337378286192806,0.11442796172789911,0.11545435012794944,0.11611693772119736
